id,coinname,abbreviation,logo_url,api_id
142,Beam,BEAM,https://s2.coinmarketcap.com/static/img/coins/64x64/28298.png,28298
143,Golem,GLM,https://s2.coinmarketcap.com/static/img/coins/64x64/1455.png,1455
144,Synthetix,SNX,https://s2.coinmarketcap.com/static/img/coins/64x64/2586.png,2586
145,1inch Network,1INCH,https://s2.coinmarketcap.com/static/img/coins/64x64/8104.png,8104
146,SafePal,SFP,https://s2.coinmarketcap.com/static/img/coins/64x64/8119.png,8119
147,MX Token,MX,https://s2.coinmarketcap.com/static/img/coins/64x64/4041.png,4041
148,Dash,DASH,https://s2.coinmarketcap.com/static/img/coins/64x64/131.png,131
149,Creditcoin,CTC,https://s2.coinmarketcap.com/static/img/coins/64x64/5198.png,5198
150,EigenLayer,EIGEN,https://s2.coinmarketcap.com/static/img/coins/64x64/30494.png,30494
151,SATS (Ordinals),SATS,https://s2.coinmarketcap.com/static/img/coins/64x64/28194.png,28194
152,Fartcoin,FARTCOIN,https://s2.coinmarketcap.com/static/img/coins/64x64/33597.png,33597
153,Wormhole,W,https://s2.coinmarketcap.com/static/img/coins/64x64/29587.png,29587
154,ZKsync,ZK,https://s2.coinmarketcap.com/static/img/coins/64x64/24091.png,24091
155,Kusama,KSM,https://s2.coinmarketcap.com/static/img/coins/64x64/5034.png,5034
156,Theta Fuel,TFUEL,https://s2.coinmarketcap.com/static/img/coins/64x64/3822.png,3822
157,Astar,ASTR,https://s2.coinmarketcap.com/static/img/coins/64x64/12885.png,12885
158,Aethir,ATH,https://s2.coinmarketcap.com/static/img/coins/64x64/30083.png,30083
159,Zilliqa,ZIL,https://s2.coinmarketcap.com/static/img/coins/64x64/2469.png,2469
160,Polyhedra Network,ZKJ,https://s2.coinmarketcap.com/static/img/coins/64x64/29779.png,29779
161,Blur,BLUR,https://s2.coinmarketcap.com/static/img/coins/64x64/23121.png,23121
162,SuperVerse,SUPER,https://s2.coinmarketcap.com/static/img/coins/64x64/8290.png,8290
163,DeepBook Protocol,DEEP,https://s2.coinmarketcap.com/static/img/coins/64x64/33391.png,33391
164,Qtum,QTUM,https://s2.coinmarketcap.com/static/img/coins/64x64/1684.png,1684
165,Notcoin,NOT,https://s2.coinmarketcap.com/static/img/coins/64x64/28850.png,28850
166,Oasis,ROSE,https://s2.coinmarketcap.com/static/img/coins/64x64/7653.png,7653
167,Basic Attention Token,BAT,https://s2.coinmarketcap.com/static/img/coins/64x64/1697.png,1697
168,Mask Network,MASK,https://s2.coinmarketcap.com/static/img/coins/64x64/8536.png,8536
169,Nervos Network,CKB,https://s2.coinmarketcap.com/static/img/coins/64x64/4948.png,4948
170,Safe,SAFE,https://s2.coinmarketcap.com/static/img/coins/64x64/21585.png,21585
171,VeThor Token,VTHO,https://s2.coinmarketcap.com/static/img/coins/64x64/3012.png,3012
172,Alchemy Pay,ACH,https://s2.coinmarketcap.com/static/img/coins/64x64/6958.png,6958
173,0x Protocol,ZRX,https://s2.coinmarketcap.com/static/img/coins/64x64/1896.png,1896
174,Livepeer,LPT,https://s2.coinmarketcap.com/static/img/coins/64x64/3640.png,3640
175,SPACE ID,ID,https://s2.coinmarketcap.com/static/img/coins/64x64/21846.png,21846
176,Solayer,LAYER,https://s2.coinmarketcap.com/static/img/coins/64x64/35429.png,35429
177,LayerZero,ZRO,https://s2.coinmarketcap.com/static/img/coins/64x64/26997.png,26997
178,WEMIX,WEMIX,https://s2.coinmarketcap.com/static/img/coins/64x64/7548.png,7548
179,Baby Doge Coin,BabyDoge,https://s2.coinmarketcap.com/static/img/coins/64x64/10407.png,10407
180,Holo,HOT,https://s2.coinmarketcap.com/static/img/coins/64x64/2682.png,2682
181,Celo,CELO,https://s2.coinmarketcap.com/static/img/coins/64x64/5567.png,5567
182,Act I : The AI Prophecy,ACT,https://s2.coinmarketcap.com/static/img/coins/64x64/33566.png,33566
183,Osmosis,OSMO,https://s2.coinmarketcap.com/static/img/coins/64x64/12220.png,12220
184,Decred,DCR,https://s2.coinmarketcap.com/static/img/coins/64x64/1168.png,1168
185,Gas,GAS,https://s2.coinmarketcap.com/static/img/coins/64x64/1785.png,1785
186,Ravencoin,RVN,https://s2.coinmarketcap.com/static/img/coins/64x64/2577.png,2577
187,ORDI,ORDI,https://s2.coinmarketcap.com/static/img/coins/64x64/25028.png,25028
188,ai16z,AI16Z,https://s2.coinmarketcap.com/static/img/coins/64x64/34026.png,34026
189,OriginTrail,TRAC,https://s2.coinmarketcap.com/static/img/coins/64x64/2467.png,2467
190,Dog (Bitcoin),DOG,https://s2.coinmarketcap.com/static/img/coins/64x64/30933.png,30933
191,Convex Finance,CVX,https://s2.coinmarketcap.com/static/img/coins/64x64/9903.png,9903
192,Chia,XCH,https://s2.coinmarketcap.com/static/img/coins/64x64/9258.png,9258
193,Cheems (cheems.pet),CHEEMS,https://s2.coinmarketcap.com/static/img/coins/64x64/33280.png,33280
194,Siacoin,SC,https://s2.coinmarketcap.com/static/img/coins/64x64/1042.png,1042
195,Ankr,ANKR,https://s2.coinmarketcap.com/static/img/coins/64x64/3783.png,3783
196,NEM,XEM,https://s2.coinmarketcap.com/static/img/coins/64x64/873.png,873
197,Mog Coin,MOG,https://s2.coinmarketcap.com/static/img/coins/64x64/27659.png,27659
198,yearn.finance,YFI,https://s2.coinmarketcap.com/static/img/coins/64x64/5864.png,5864
199,Waves,WAVES,https://s2.coinmarketcap.com/static/img/coins/64x64/1274.png,1274
200,Moca Network,MOCA,https://s2.coinmarketcap.com/static/img/coins/64x64/31526.png,31526
201,Fasttoken,FTN,https://s2.coinmarketcap.com/static/img/coins/64x64/22615.png,22615
202,Usual USD,USD0,https://s2.coinmarketcap.com/static/img/coins/64x64/32307.png,32307
203,Zeebu,ZBU,https://s2.coinmarketcap.com/static/img/coins/64x64/27765.png,27765
204,AB,AB,https://s2.coinmarketcap.com/static/img/coins/64x64/3871.png,3871
205,Dohrnii,DHN,https://s2.coinmarketcap.com/static/img/coins/64x64/20279.png,20279
206,Ultima,ULTIMA,https://s2.coinmarketcap.com/static/img/coins/64x64/28293.png,28293
207,Fellaz,FLZ,https://s2.coinmarketcap.com/static/img/coins/64x64/20787.png,20787
208,would,WOULD,https://s2.coinmarketcap.com/static/img/coins/64x64/35837.png,35837
209,Telcoin,TEL,https://s2.coinmarketcap.com/static/img/coins/64x64/2394.png,2394
210,Beldex,BDX,https://s2.coinmarketcap.com/static/img/coins/64x64/3987.png,3987
211,Cheelee,CHEEL,https://s2.coinmarketcap.com/static/img/coins/64x64/23054.png,23054
212,Legacy Frax Dollar,FRAX,https://s2.coinmarketcap.com/static/img/coins/64x64/6952.png,6952
213,WhiteRock,WHITE,https://s2.coinmarketcap.com/static/img/coins/64x64/34143.png,34143
214,Ondo US Dollar Yield,USDY,https://s2.coinmarketcap.com/static/img/coins/64x64/29256.png,29256
215,Olympus v2,OHM,https://s2.coinmarketcap.com/static/img/coins/64x64/9067.png,9067
216,Elixir deUSD,DEUSD,https://s2.coinmarketcap.com/static/img/coins/64x64/31024.png,31024
217,Snek,SNEK,https://s2.coinmarketcap.com/static/img/coins/64x64/25264.png,25264
218,Staika,STIK,https://s2.coinmarketcap.com/static/img/coins/64x64/23951.png,23951
219,USDD,USDD,https://s2.coinmarketcap.com/static/img/coins/64x64/19891.png,19891
220,Chintai,CHEX,https://s2.coinmarketcap.com/static/img/coins/64x64/8534.png,8534
221,Venice Token,VVV,https://s2.coinmarketcap.com/static/img/coins/64x64/35509.png,35509
222,UPCX,UPC,https://s2.coinmarketcap.com/static/img/coins/64x64/28654.png,28654
223,SwissBorg,BORG,https://s2.coinmarketcap.com/static/img/coins/64x64/2499.png,2499
224,Rollbit Coin,RLB,https://s2.coinmarketcap.com/static/img/coins/64x64/15271.png,15271
225,GoМining,GOMINING,https://s2.coinmarketcap.com/static/img/coins/64x64/10180.png,10180
226,AI Companions,AIC,https://s2.coinmarketcap.com/static/img/coins/64x64/32968.png,32968
227,Bounce Token,AUCTION,https://s2.coinmarketcap.com/static/img/coins/64x64/8602.png,8602
228,Threshold,T,https://s2.coinmarketcap.com/static/img/coins/64x64/17751.png,17751
229,Enjin Coin,ENJ,https://s2.coinmarketcap.com/static/img/coins/64x64/2130.png,2130
230,aelf,ELF,https://s2.coinmarketcap.com/static/img/coins/64x64/2299.png,2299
